title,cuisine,ingredients,steps,url
Albanian Fried Meatballs,,13,5,https://en.wikibooks.org/wiki/Cookbook%3AAlbanian_Fried_Meatballs
Albanian Meat with Walnuts,,6,6,https://en.wikibooks.org/wiki/Cookbook%3AAlbanian_Meat_with_Walnuts
Albanian Mixed Vegetables,,7,5,https://en.wikibooks.org/wiki/Cookbook%3AAlbanian_Mixed_Vegetables
Albanian Stewed Fig Pudding,,4,4,https://en.wikibooks.org/wiki/Cookbook%3AAlbanian_Stewed_Fig_Pudding
Albanian Vegetable Pie,,7,5,https://en.wikibooks.org/wiki/Cookbook%3AAlbanian_Vegetable_Pie
User:AlbertCahalan/Broccoli Stir Fry,,6,9,https://en.wikibooks.org/wiki/User%3AAlbertCahalan/Broccoli_Stir_Fry
A Nice Cup of Tea,British,4,6,https://en.wikibooks.org/wiki/Cookbook%3AA_Nice_Cup_of_Tea
Agedashi Tofu,Japanese,3,8,https://en.wikibooks.org/wiki/Cookbook%3AAgedashi_Tofu
Agar Jelly,,3,7,https://en.wikibooks.org/wiki/Cookbook%3AAgar_Jelly
Adobo Chicken (Philippine),,6,7,https://en.wikibooks.org/wiki/Cookbook%3AAdobo_Chicken_%28Philippine%29
'Out of Salad Dressing' Salad Dressing,,5,3,https://en.wikibooks.org/wiki/Cookbook%3A%27Out_of_Salad_Dressing%27_Salad_Dressing
20-Minute Beef Stroganoff,,13,9,https://en.wikibooks.org/wiki/Cookbook%3A20-Minute_Beef_Stroganoff
Adobo Sauce,Mexican,8,2,https://en.wikibooks.org/wiki/Cookbook%3AAdobo_Sauce
Agnolotti Pasta Soup (Agnolotti in Brodo),Italian,7,5,https://en.wikibooks.org/wiki/Cookbook%3AAgnolotti_Pasta_Soup_%28Agnolotti_in_Brodo%29
Acid Drops,British,5,6,https://en.wikibooks.org/wiki/Cookbook%3AAcid_Drops
40 Cloves in a Roast Chicken,,8,8,https://en.wikibooks.org/wiki/Cookbook%3A40_Cloves_in_a_Roast_Chicken
Adult Macaroni and Cheese,American,11,4,https://en.wikibooks.org/wiki/Cookbook%3AAdult_Macaroni_and_Cheese
Ají de Gallina (Peruvian Chili Chicken),,15,7,https://en.wikibooks.org/wiki/Cookbook%3AAj%C3%AD_de_Gallina_%28Peruvian_Chili_Chicken%29
Acorn Crusted Salmon,,3,3,https://en.wikibooks.org/wiki/Cookbook%3AAcorn_Crusted_Salmon
Acorn Squash with Orange Marmalade,American,4,8,https://en.wikibooks.org/wiki/Cookbook%3AAcorn_Squash_with_Orange_Marmalade
Alabama White Sauce,,8,2,https://en.wikibooks.org/wiki/Cookbook%3AAlabama_White_Sauce
Akamu (Nigerian Pudding),,4,6,https://en.wikibooks.org/wiki/Cookbook%3AAkamu_%28Nigerian_Pudding%29
Adoyo (Nigerian Ogi Beverage),,4,5,https://en.wikibooks.org/wiki/Cookbook%3AAdoyo_%28Nigerian_Ogi_Beverage%29
Agbalumo Smoothie,,3,5,https://en.wikibooks.org/wiki/Cookbook%3AAgbalumo_Smoothie
Agbugbu (Nigerian Pigeon Pea and Yam Porridge),,7,8,https://en.wikibooks.org/wiki/Cookbook%3AAgbugbu_%28Nigerian_Pigeon_Pea_and_Yam_Porridge%29
Ager Soup,,9,6,https://en.wikibooks.org/wiki/Cookbook%3AAger_Soup
Abacha Mmiri (Soaked Cassava Flakes),,5,5,https://en.wikibooks.org/wiki/Cookbook%3AAbacha_Mmiri_%28Soaked_Cassava_Flakes%29
Aadun (Nigerian Corn Flour with Palm Oil),,4,3,https://en.wikibooks.org/wiki/Cookbook%3AAadun_%28Nigerian_Corn_Flour_with_Palm_Oil%29
Accra Cassava (Cameroonian Cassava Fritters),,2,7,https://en.wikibooks.org/wiki/Cookbook%3AAccra_Cassava_%28Cameroonian_Cassava_Fritters%29
Akabenz (Rwandan Fried Chicken),,10,7,https://en.wikibooks.org/wiki/Cookbook%3AAkabenz_%28Rwandan_Fried_Chicken%29
African Cabbage Stew,,13,6,https://en.wikibooks.org/wiki/Cookbook%3AAfrican_Cabbage_Stew
Akarubi (Rwandan Grilled Banana),,4,6,https://en.wikibooks.org/wiki/Cookbook%3AAkarubi_%28Rwandan_Grilled_Banana%29
Akarange (Rwandan Tomato Sauce),,12,8,https://en.wikibooks.org/wiki/Cookbook%3AAkarange_%28Rwandan_Tomato_Sauce%29
African Salad II,,17,9,https://en.wikibooks.org/wiki/Cookbook%3AAfrican_Salad_II
Abuk-abuk (Sweet Steamed Sago Dumplings),,7,10,https://en.wikibooks.org/wiki/Cookbook%3AAbuk-abuk_%28Sweet_Steamed_Sago_Dumplings%29
Air Fried Zucchini,,5,4,https://en.wikibooks.org/wiki/Cookbook%3AAir_Fried_Zucchini
Agidi (Nigerian Cornstarch Swallow),,3,5,https://en.wikibooks.org/wiki/Cookbook%3AAgidi_%28Nigerian_Cornstarch_Swallow%29
Anzac Biscuits I,,8,5,https://en.wikibooks.org/wiki/Cookbook%3AAnzac_Biscuits_I
Appam (Fermented Rice Pancake),Indian,7,9,https://en.wikibooks.org/wiki/Cookbook%3AAppam_%28Fermented_Rice_Pancake%29
User:AlbertCahalan/Cashew Chicken,,8,5,https://en.wikibooks.org/wiki/User%3AAlbertCahalan/Cashew_Chicken
Ambrosia Fruit Salad,,6,4,https://en.wikibooks.org/wiki/Cookbook%3AAmbrosia_Fruit_Salad
Angels on Horseback (Bacon-wrapped Oysters),,6,4,https://en.wikibooks.org/wiki/Cookbook%3AAngels_on_Horseback_%28Bacon-wrapped_Oysters%29
Almond Fudge Brownies,,9,9,https://en.wikibooks.org/wiki/Cookbook%3AAlmond_Fudge_Brownies
Alfredo Sauce,,4,6,https://en.wikibooks.org/wiki/Cookbook%3AAlfredo_Sauce
Apple and Almond Cake,,8,8,https://en.wikibooks.org/wiki/Cookbook%3AApple_and_Almond_Cake
Almond Toffee Blondies,,9,6,https://en.wikibooks.org/wiki/Cookbook%3AAlmond_Toffee_Blondies
Anchovy Herb Salsa Verde,,7,2,https://en.wikibooks.org/wiki/Cookbook%3AAnchovy_Herb_Salsa_Verde
Almond Pancakes,American,11,13,https://en.wikibooks.org/wiki/Cookbook%3AAlmond_Pancakes
Anzac Biscuits II,,8,7,https://en.wikibooks.org/wiki/Cookbook%3AAnzac_Biscuits_II
American Potato Salad I,American,10,11,https://en.wikibooks.org/wiki/Cookbook%3AAmerican_Potato_Salad_I
Apple Brown Betty,American,6,6,https://en.wikibooks.org/wiki/Cookbook%3AApple_Brown_Betty
Alsatian Chicken Fricassée,French,13,8,https://en.wikibooks.org/wiki/Cookbook%3AAlsatian_Chicken_Fricass%C3%A9e
Alsatian Fish Stew (Matelote de poissons d'Alsace),French,20,11,https://en.wikibooks.org/wiki/Cookbook%3AAlsatian_Fish_Stew_%28Matelote_de_poissons_d%27Alsace%29
Alsatian Fresh Noodles (Nouilles fraîches à l'Alsacienne),French,5,10,https://en.wikibooks.org/wiki/Cookbook%3AAlsatian_Fresh_Noodles_%28Nouilles_fra%C3%AEches_%C3%A0_l%27Alsacienne%29
Alfajores (Latin American Sandwich Cookies),,11,6,https://en.wikibooks.org/wiki/Cookbook%3AAlfajores_%28Latin_American_Sandwich_Cookies%29
Ancient Roman Pancakes (Ova Sfongia Ex Lacte),,8,3,https://en.wikibooks.org/wiki/Cookbook%3AAncient_Roman_Pancakes_%28Ova_Sfongia_Ex_Lacte%29
Apple BBQ Sauce,,5,3,https://en.wikibooks.org/wiki/Cookbook%3AApple_BBQ_Sauce
Almond Milk II,,3,5,https://en.wikibooks.org/wiki/Cookbook%3AAlmond_Milk_II
Ants on a Log,,3,3,https://en.wikibooks.org/wiki/Cookbook%3AAnts_on_a_Log
Algerian Mint Tea,,4,6,https://en.wikibooks.org/wiki/Cookbook%3AAlgerian_Mint_Tea
Algerian Lemonade,,8,7,https://en.wikibooks.org/wiki/Cookbook%3AAlgerian_Lemonade
Almond Cake,,7,9,https://en.wikibooks.org/wiki/Cookbook%3AAlmond_Cake
Almond Milk I,,4,4,https://en.wikibooks.org/wiki/Cookbook%3AAlmond_Milk_I
Almond Meringue,,3,8,https://en.wikibooks.org/wiki/Cookbook%3AAlmond_Meringue
Algerian Baghrir,,8,9,https://en.wikibooks.org/wiki/Cookbook%3AAlgerian_Baghrir
Algerian Chakhchoukha (Vegetable and Flatbread Stew),,13,8,https://en.wikibooks.org/wiki/Cookbook%3AAlgerian_Chakhchoukha_%28Vegetable_and_Flatbread_Stew%29
Aloo Tikki (Spiced Potato Patties),,6,5,https://en.wikibooks.org/wiki/Cookbook%3AAloo_Tikki_%28Spiced_Potato_Patties%29
American Marinara Sauce I,Italian,11,13,https://en.wikibooks.org/wiki/Cookbook%3AAmerican_Marinara_Sauce_I
American Marinara Sauce II,Italian,15,7,https://en.wikibooks.org/wiki/Cookbook%3AAmerican_Marinara_Sauce_II
Alkubus (Nigerian Steamed Bread),,6,8,https://en.wikibooks.org/wiki/Cookbook%3AAlkubus_%28Nigerian_Steamed_Bread%29
Alicha Wot (Mild Ethiopian Stew),,14,10,https://en.wikibooks.org/wiki/Cookbook%3AAlicha_Wot_%28Mild_Ethiopian_Stew%29
American Potato Salad II,,10,5,https://en.wikibooks.org/wiki/Cookbook%3AAmerican_Potato_Salad_II
American Alfredo Sauce,,6,7,https://en.wikibooks.org/wiki/Cookbook%3AAmerican_Alfredo_Sauce
Almond Gambols,,6,4,https://en.wikibooks.org/wiki/Cookbook%3AAlmond_Gambols
Americanized Eggplant Parmesan,,14,22,https://en.wikibooks.org/wiki/Cookbook%3AAmericanized_Eggplant_Parmesan
Apple Tapioca,,7,5,https://en.wikibooks.org/wiki/Cookbook%3AApple_Tapioca
Apple Bundt Cake,,14,8,https://en.wikibooks.org/wiki/Cookbook%3AApple_Bundt_Cake
Arroz con Pollo (Rice and Chicken),,13,10,https://en.wikibooks.org/wiki/Cookbook%3AArroz_con_Pollo_%28Rice_and_Chicken%29
Arisa (Malaysian Blended Chicken),,12,11,https://en.wikibooks.org/wiki/Cookbook%3AArisa_%28Malaysian_Blended_Chicken%29
Arambasici (Croatian Sour Cabbage Rolls),,18,12,https://en.wikibooks.org/wiki/Cookbook%3AArambasici_%28Croatian_Sour_Cabbage_Rolls%29
Apple Crisp I,,6,5,https://en.wikibooks.org/wiki/Cookbook%3AApple_Crisp_I
Asian-Inspired Chicken Salad,,9,7,https://en.wikibooks.org/wiki/Cookbook%3AAsian-Inspired_Chicken_Salad
Apple Pudding,,8,5,https://en.wikibooks.org/wiki/Cookbook%3AApple_Pudding
Apricot Wine,,9,7,https://en.wikibooks.org/wiki/Cookbook%3AApricot_Wine
Apple with Mustard and Goat Cheese,,3,4,https://en.wikibooks.org/wiki/Cookbook%3AApple_with_Mustard_and_Goat_Cheese
Apple Cake,,9,7,https://en.wikibooks.org/wiki/Cookbook%3AApple_Cake
Arjoli (Maltese Herbed Bread Dip),,9,2,https://en.wikibooks.org/wiki/Cookbook%3AArjoli_%28Maltese_Herbed_Bread_Dip%29
Asian Barbecue Ribs,,8,6,https://en.wikibooks.org/wiki/Cookbook%3AAsian_Barbecue_Ribs
Apple Crusted Ham,,4,5,https://en.wikibooks.org/wiki/Cookbook%3AApple_Crusted_Ham
Applewood Bacon,,6,9,https://en.wikibooks.org/wiki/Cookbook%3AApplewood_Bacon
Apple Glazed Pork Chops,,5,4,https://en.wikibooks.org/wiki/Cookbook%3AApple_Glazed_Pork_Chops
Apple Stuffed Pork Chops,,7,6,https://en.wikibooks.org/wiki/Cookbook%3AApple_Stuffed_Pork_Chops
Apple Stuffing,,10,3,https://en.wikibooks.org/wiki/Cookbook%3AApple_Stuffing
Apple Stuffed Pork Loin,,5,4,https://en.wikibooks.org/wiki/Cookbook%3AApple_Stuffed_Pork_Loin
Asian Grilled Duck Breasts,,14,7,https://en.wikibooks.org/wiki/Cookbook%3AAsian_Grilled_Duck_Breasts
Apple Fritters,,8,4,https://en.wikibooks.org/wiki/Cookbook%3AApple_Fritters
Asian Grilled Salmon,,13,6,https://en.wikibooks.org/wiki/Cookbook%3AAsian_Grilled_Salmon
